Textbox8,tbToday,Textbox2
All Instrument Types By Location,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SubsiteName,SiteNumber,SiteCode,NodeTypeName,NodeSequence,SensorInstrumentName,SensorInstrumentClass,SensorCount
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),004,oxygen_dissolved_stable,DOSTA,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),004,attenuation_absorption_optical,OPTAA,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),004,pCO2_water,PCO2W,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),004,pH_stable,PHSEN,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),005,camera_digital_still_strobe,CAMDS,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),005,CTD_bottom_pumped,CTDBP,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),005,pressure_SF,PRESF,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),005,Velocity_point_3D_turb,VEL3D,1
CE06ISSM-MF005,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),005,plankton_ZP_sonar_coastal,ZPLSC,1
CE06ISSM-RI002,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),002,oxygen_dissolved_stable,DOSTA,1
CE06ISSM-RI002,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),002,pCO2_water,PCO2W,1
CE06ISSM-RI002,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),002,pH_stable,PHSEN,1
CE06ISSM-RI002,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),002,Velocity_point,VELPT,1
CE06ISSM-RI003,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,CTD_bottom_pumped,CTDBP,1
CE06ISSM-RI003,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,Fluorometer_three_wavelength,FLORT,1
CE06ISSM-RI003,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,nutrient_Nitrate,NUTNR,1
CE06ISSM-RI003,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,attenuation_absorption_optical,OPTAA,1
CE06ISSM-RI003,Endurance WA Inshore Surface Mooring ,06,ISSM,RI (Mooring Riser),003,spectral_irradiance,SPKIR,1
CE06ISSM-SB001,Endurance WA Inshore Surface Mooring ,06,ISSM,SB (Surface Buoy),001,Velocity_point,VELPT,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,CTD_profiler,CTDPF,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,oxygen_dissolved_fastresp,DOFST,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,Fluorometer_three_wavelength,FLORT,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,nutrient_Nitrate,NUTNR,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,attenuation_absorption_optical,OPTAA,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,PAR,PARAD,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,pCO2_water,PCO2W,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,spectral_irradiance,SPKIR,1
CE06ISSP-SP001,Endurance WA Inshore Surface Piercing Profiler Mooring,06,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,Velocity_point_3D_turb,VEL3D,1
CE07SHSM-MF004,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,CTD_bottom_pumped,CTDBP,1
CE07SHSM-MF004,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,oxygen_dissolved_stable,DOSTA,1
CE07SHSM-MF004,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,attenuation_absorption_optical,OPTAA,1
CE07SHSM-MF004,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,pCO2_water,PCO2W,1
CE07SHSM-MF004,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,pH_stable,PHSEN,1
CE07SHSM-MF005,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,Velocity_Profile_Short_Range,ADCPT,1
CE07SHSM-MF005,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,camera_digital_still_strobe,CAMDS,1
CE07SHSM-MF005,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,pressure_SF,PRESF,1
CE07SHSM-MF005,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,Velocity_point_3D_turb,VEL3D,1
CE07SHSM-MF005,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,plankton_ZP_sonar_coastal,ZPLSC,1
CE07SHSM-RI002,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,CTD_bottom_pumped,CTDBP,1
CE07SHSM-RI002,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,oxygen_dissolved_stable,DOSTA,1
CE07SHSM-RI002,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,pH_stable,PHSEN,1
CE07SHSM-RI002,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,Velocity_point,VELPT,1
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,Velocity_Profile_Short_Range,ADCPT,1
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,Fluorometer_three_wavelength,FLORT,1
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,nutrient_Nitrate,NUTNR,1
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,attenuation_absorption_optical,OPTAA,1
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,spectral_irradiance,SPKIR,1
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,flux_direct_cov_HP,FDCHP,1
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,Meteorology_bulk,METBK,2
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,pCO2_air-sea,PCO2A,1
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,Velocity_point,VELPT,1
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,wave_spectra_surface,WAVSS,1
